Symbol,Company,FV,Sector,No Years,Price,Div Yield,5Y Avg Yield,Current Div,Payouts/ Year,Annualized,Previous Div,Ex-Date,Pay-Date,Low,High,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y,TTR 1Y,TTR 3Y,Fair Value,FV %,,Streak Basis,Chowder Number,EPS 1Y,Revenue 1Y,NPM,CF/Share,ROE,Current R,Debt/Capital,ROTC,P/E,P/BV,PEG,New Member,Industry
DG,Dollar General Corporation,,Consumer Discretionary,8,232.23,0.95,0.89,0.55,4,2.20,0.420,4/4/22,4/19/22,183.25,262.21,16.67,13.15,17.51,,10.74,24.12,At Fair Value,0,Blended,Declaration date,18,-10.42,2.59,6.58,11.28,37.25,0.97,0.72,9.35,24.21,9.05,1.41,,Multiline Retail
DGIC.A,Donegal Group Inc.,,Financials,21,15.89,4.15,4.09,0.165,4,0.66,0.160,4/29/22,5/16/22,13.09,16.50,6.67,3.94,3.08,2.92,-5.81,4.18,In the Margin of Safety,-2,Blended,Ex-date,7,-55.59,4.46,3.38,2.17,5.30,0.53,0.07,3.83,15.03,0.81,-98.40,,Insurance
DGIC.B,Donegal Group Inc.,,Financials,20,15.31,3.85,3.92,0.148,4,0.59,0.143,4/29/22,5/16/22,12.01,16.75,7.55,4.47,3.50,2.86,1.40,6.53,In the Margin of Safety,-2,Blended,Ex-date,7,-55.59,4.46,3.38,2.17,5.30,0.53,0.07,3.83,15.44,0.83,9.10,,Insurance
DGX,Quest Diagnostics Incorporated,,Health Care,12,127.98,2.06,2.06,0.66,4,2.64,0.620,4/5/22,4/20/22,125.33,174.16,10.72,6.91,8.50,14.51,8.61,17.38,At Fair Value,0,Blended,Declaration date,11,15.00,3.33,17.62,16.32,29.39,1.46,0.42,12.62,8.88,2.52,0.36,,Healthcare Providers and Services
DHI,"D.R. Horton, Inc.",,Consumer Discretionary,9,61.3,1.47,1.26,0.225,4,0.90,0.200,12/3/21,12/15/21,60.88,110.45,13.34,15.62,18.75,18.95,-15.65,23.00,In the Margin of Safety,-254,Blended,Ex-date,20,61.29,25.97,16.53,-0.41,33.24,5.34,0.26,20.16,5.29,1.57,0.14,,Household Durables
DHIL,"Diamond Hill Investment Group, Inc.",,Financials,9,169.24,3.55,0.62,1.5,4,6.00,1.000,3/4/22,3/18/22,160.00,234.84,350.00,,,,34.69,20.32,In the Margin of Safety,-43,Blended,Ex-date,,36.90,38.93,37.55,8.88,34.09,3.67,0.01,24.77,8.58,3.28,1.01,,Capital Markets
DHR,Danaher Corporation,,Health Care,8,240.85,0.42,0.45,0.25,4,1.00,0.210,3/24/22,4/29/22,233.71,333.96,17.34,10.63,9.86,24.94,30.72,31.00,In the Margin of Safety,-4,Blended,Ex-date,10,136.41,67.93,21.32,11.82,14.68,1.68,0.34,7.89,33.63,4.85,1.22,,Healthcare Equipment and Supplies
DKL,"Delek Logistics Partners, LP",,Energy,10,45.2,8.67,15.21,0.98,4,3.92,0.975,5/4/22,5/12/22,36.56,58.55,5.00,6.66,8.01,,33.47,23.49,At Fair Value,0,Blended,Ex-date,17,35.07,26.84,22.28,6.02,94.01,0.28,1.14,14.23,11.38,-17.96,1.28,,"Oil, Gas and Consumable Fuels"
DKS,"DICK'S Sporting Goods, Inc.",,Consumer Discretionary,8,71.66,2.72,2.70,0.488,4,1.95,0.438,3/17/22,3/25/22,63.45,147.39,32.70,22.00,22.56,10.69,38.92,45.12,In the Margin of Safety,-21,Blended,Ex-date,25,1445.59,47.92,11.75,13.69,59.20,1.88,0.68,19.34,5.51,3.43,0.13,,Specialty Retail
DLB,"Dolby Laboratories, Inc.",,Information Technology,8,69.96,1.43,1.14,0.25,4,1.00,0.220,11/29/21,12/8/21,69.18,104.25,6.82,10.33,12.58,,-19.91,8.78,In the Margin of Safety,-9,Blended,Ex-date,14,-29.79,2.47,17.14,3.72,8.29,5.78,0.03,5.50,37.17,3.07,15.62,,"Electronic Equipment, Instruments and Components"
DLR,"Digital Realty Trust, Inc.",,Real Estate,18,125.31,3.89,3.35,1.22,4,4.88,1.160,3/14/22,3/31/22,124.11,178.22,3.99,4.58,5.66,5.43,3.83,9.60,At Fair Value,0,Blended,Ex-date,10,71.06,44.91,30.72,5.84,7.81,0.78,0.47,1.47,29.28,2.38,0.85,,Equity Real Estate Investment Trusts (REITs)
DOV,Dover Corporation,,Industrials,67,119.82,1.67,1.80,0.5,4,2.00,0.495,8/30/21,9/15/21,118.91,184.05,1.02,1.47,2.78,5.05,15.83,20.68,In the Margin of Safety,-4,Blended,Ex-date,4,50.91,17.34,13.81,6.69,28.55,1.44,0.42,11.64,20.23,5.23,1.24,,Machinery
DOX,Amdocs Limited,,Information Technology,10,77.22,2.05,1.84,0.395,4,1.58,0.360,3/30/22,4/29/22,68.33,88.18,9.88,12.54,12.88,,19.43,17.21,In the Margin of Safety,0,Blended,Ex-date,15,-12.30,4.50,12.76,6.10,15.50,1.50,0.20,8.66,18.32,2.84,1.84,,IT Services
DPZ,"Domino's Pizza, Inc.",,Consumer Discretionary,10,379.55,1.16,0.89,1.1,4,4.40,0.940,3/14/22,3/30/22,321.15,567.57,19.52,19.46,19.63,,11.62,17.45,In the Margin of Safety,-11,Blended,Ex-date excl. specials,21,5.91,3.71,11.04,15.89,,1.45,4.90,43.15,29.81,-3.39,1.33,,"Hotels, Restaurants and Leisure"
DRE,Duke Realty Corporation,,Real Estate,6,52.15,2.15,3.02,0.28,4,1.12,0.255,11/15/21,11/30/21,47.03,66.22,9.19,8.84,7.66,4.64,41.37,26.90,Above Fair Value,6,Blended,Ex-date,10,143.65,17.16,92.29,1.68,17.82,1.28,0.38,2.48,21.61,3.58,0.57,,Equity Real Estate Investment Trusts (REITs)
DTE,DTE Energy Company,,Utilities,12,116.61,3.04,3.43,0.885,4,3.54,0.825,12/17/21,1/15/22,108.22,140.23,13.59,9.25,8.64,7.33,3.19,5.68,At Fair Value,0,Blended,Ex-date,12,-14.67,33.21,5.67,14.62,8.00,0.64,0.68,3.38,29.20,2.90,-6.56,,Multi-Utilities
DUK,Duke Energy Corporation,,Utilities,18,99.54,3.96,4.17,0.985,4,3.94,0.965,8/12/21,9/16/21,95.48,116.33,2.09,2.20,2.95,2.77,20.18,11.97,At Fair Value,0,Blended,Ex-date,7,169.53,8.48,14.71,10.40,6.84,0.72,0.58,3.11,23.50,1.82,5.90,,Electric Utilities
DVN,Devon Energy Corporation,,Energy,5,63.27,1.01,2.01,,,0.64,0.110,3/11/22,3/31/22,24.05,79.40,36.37,23.32,20.12,-1.67,192.96,30.21,Above Fair Value,40,Blended,Ex-date,21,0.00,163.07,24.03,9.25,40.32,1.33,0.42,17.23,11.09,4.21,2.90,,"Oil, Gas and Consumable Fuels"
EBMT,"Eagle Bancorp Montana, Inc.",,Financials,11,19.6,2.55,1.99,0.125,4,0.50,0.098,8/12/21,9/3/21,18.69,24.74,21.94,8.74,8.28,5.23,-6.25,11.96,In the Margin of Safety,-23,Blended,Ex-date,11,-48.05,-6.47,12.77,8.87,7.60,0.10,0.00,,12.94,1.01,2.86,,Banks
EBTC,"Enterprise Bancorp, Inc.",,Financials,28,30.13,2.72,2.04,0.205,4,0.82,0.185,2/7/22,3/1/22,29.58,46.48,7.05,8.51,7.68,5.99,25.88,14.47,In the Margin of Safety,-21,Blended,Ex-date,10,10.47,10.46,26.24,4.51,13.18,0.12,0.00,,11.47,1.55,0.80,,Banks
ECL,Ecolab Inc.,,Materials,30,145.63,1.40,1.07,0.51,4,2.04,0.480,12/13/21,1/18/22,143.82,238.93,4.22,4.41,6.58,10.20,-16.72,0.98,In the Margin of Safety,-22,Blended,Ex-date,8,-23.91,3.62,8.45,6.77,16.72,1.27,0.57,7.88,45.63,7.13,16.73,,Chemicals
ED,"Consolidated Edison, Inc.",,Utilities,48,87.67,3.60,3.65,0.79,4,3.16,0.775,2/15/22,3/15/22,71.17,101.12,1.47,2.60,2.91,2.63,31.69,7.79,At Fair Value,0,Blended,Ex-date,7,11.41,14.36,10.88,8.31,6.66,1.01,0.55,3.82,21.76,1.65,9.06,,Multi-Utilities
EFSC,Enterprise Financial Services Corp,,Financials,8,41.68,2.11,1.53,0.22,4,0.88,0.210,6/14/22,6/30/22,41.50,51.50,8.34,15.98,12.65,14.03,-2.71,7.01,In the Margin of Safety,-43,Blended,Ex-date,15,27.67,51.54,34.28,5.94,11.76,0.18,0.00,,11.41,1.27,1.03,,Banks
EGP,"EastGroup Properties, Inc.",,Real Estate,11,150.2,2.93,2.51,1.1,4,4.40,0.900,12/30/21,1/15/22,149.59,229.84,24.68,11.59,9.60,6.47,44.79,24.96,At Fair Value,0,Blended,Ex-date,13,67.05,14.02,45.66,6.40,12.97,0.86,0.48,3.38,42.64,5.06,3.40,,Equity Real Estate Investment Trusts (REITs)
EIX,Edison International,,Utilities,19,60.33,4.64,4.09,0.7,4,2.80,0.663,12/30/21,1/31/22,54.14,73.32,4.81,3.83,5.91,7.77,24.96,8.70,In the Margin of Safety,-7,Blended,Pay date,11,-54.92,29.24,3.67,1.93,3.36,0.64,0.63,4.82,45.68,1.95,-3.72,,Electric Utilities
ELS,"Equity LifeStyle Properties, Inc.",,Real Estate,18,70.02,2.34,2.13,0.41,4,1.64,0.363,3/24/22,4/8/22,67.57,88.70,7.74,9.81,11.19,14.39,22.49,12.50,At Fair Value,0,Blended,Declaration date,14,22.28,18.94,21.05,3.26,20.75,0.31,0.68,5.66,50.20,9.77,5.71,,Equity Real Estate Investment Trusts (REITs)
EMN,Eastman Chemical Company,,Materials,13,87.45,3.48,3.14,0.76,4,3.04,0.690,12/14/21,1/7/22,86.92,129.48,7.41,7.11,8.38,11.07,4.44,17.57,In the Margin of Safety,-25,Blended,Ex-date,12,68.58,24.77,7.59,10.67,13.44,1.58,0.48,9.58,18.24,2.45,37.48,,Chemicals
EMR,Emerson Electric Co.,,Industrials,65,81,2.54,2.84,0.515,4,2.06,0.505,11/10/21,12/10/21,80.75,105.99,1.50,1.52,1.33,3.20,10.97,15.75,In the Margin of Safety,-3,Blended,Ex-date,4,35.30,10.81,15.17,4.92,29.07,1.68,0.52,10.73,20.37,5.51,1.54,,Electrical Equipment
ENB,Enbridge Inc.,,Energy,26,40.97,6.44,6.48,0.66,4,2.64,,,,36.21,47.67,9.36,8.67,10.17,10.13,35.41,15.98,In the Margin of Safety,-4,Blended,Ex-date,17,-7.58,27.60,12.45,4.76,9.77,0.68,0.55,3.60,15.97,1.71,0.85,,"Oil, Gas and Consumable Fuels"
ENSG,"The Ensign Group, Inc.",,Health Care,15,72.79,0.30,0.41,0.055,4,0.22,0.053,12/30/21,1/31/22,68.29,94.25,4.88,5.14,5.44,6.46,-3.84,21.12,At Fair Value,0,Blended,Ex-date,6,7.50,11.21,7.22,5.27,20.34,1.24,0.57,7.38,25.11,4.61,0.77,,Healthcare Providers and Services
EOG,"EOG Resources, Inc.",,Energy,5,119.56,2.51,1.66,0.75,4,3.00,0.413,1/13/22,1/28/22,62.81,147.99,32.50,34.88,24.30,20.04,75.92,11.97,In the Margin of Safety,-42,Blended,Ex-date,27,6935.45,114.07,19.47,13.33,20.70,1.36,0.20,13.44,15.85,3.25,0.00,,"Oil, Gas and Consumable Fuels"
EPD,Enterprise Products Partners L.P.,,Energy,25,24.15,7.70,8.43,0.465,4,1.86,0.450,1/27/22,2/11/22,20.42,28.65,27.74,9.75,7.21,6.48,29.06,4.65,In the Margin of Safety,-12,Blended,Ex-date,15,22.09,54.69,10.29,3.96,17.89,0.85,0.53,6.37,12.38,2.21,1.12,,"Oil, Gas and Consumable Fuels"
EQIX,"Equinix, Inc. (REIT)",,Real Estate,8,618.43,2.01,1.77,3.1,4,12.40,2.870,3/4/22,3/23/22,606.12,885.26,7.93,7.99,10.07,,10.82,19.79,In the Margin of Safety,-3,Blended,Ex-date excl. specials,12,18.62,10.82,7.68,30.37,4.57,1.91,0.58,1.76,136.06,6.17,9.12,,Equity Real Estate Investment Trusts (REITs)
EQR,Equity Residential,,Real Estate,5,68.74,3.64,3.22,0.625,4,2.50,0.603,3/25/22,4/8/22,67.48,94.32,0.94,3.61,-12.89,4.41,29.19,9.71,At Fair Value,0,Blended,Pay date,-9,102.19,1.32,53.43,3.43,12.54,0.24,0.43,2.02,25.09,3.14,2.74,,Equity Real Estate Investment Trusts (REITs)
ERIE,Erie Indemnity Company,,Financials,32,170.28,2.61,2.26,1.11,4,4.44,1.035,1/4/22,1/20/22,158.46,234.96,7.26,7.22,7.24,7.23,-18.54,1.86,In the Margin of Safety,-3,Blended,Declaration date excl. specials,10,-4.76,4.95,10.95,7.52,23.05,1.25,0.07,14.87,31.45,6.91,4.74,,Insurance
ES,Eversource Energy,,Utilities,24,78.81,3.24,2.88,0.638,4,2.55,0.603,3/2/22,3/31/22,78.07,94.63,6.08,6.05,6.20,8.14,4.82,10.56,In the Margin of Safety,-2,Blended,Ex-date,9,4.24,12.32,12.36,5.59,8.89,0.63,0.59,3.99,23.40,2.05,5.13,,Electric Utilities
ESS,"Essex Property Trust, Inc.",,Real Estate,28,253.94,3.47,2.94,2.2,4,8.80,2.090,3/30/22,4/14/22,250.62,363.36,1.78,4.00,5.28,7.22,30.38,9.32,In the Margin of Safety,-5,Blended,Ex-date,9,-6.76,4.11,24.85,15.75,6.72,0.77,0.50,2.61,57.20,3.79,-11.38,,Equity Real Estate Investment Trusts (REITs)
ESSA,"ESSA Bancorp, Inc.",,Financials,5,15.75,3.81,2.71,0.15,4,0.60,0.120,6/15/22,6/30/22,14.79,18.75,6.67,8.10,5.93,9.15,15.39,8.30,In the Margin of Safety,-43,Blended,Ex-date,10,10.43,2.92,27.25,1.98,8.35,0.13,0.00,,10.26,0.83,0.50,,Thrifts and Mortgage Finance
ETN,Eaton Corporation plc,,Industrials,13,126.11,2.57,2.97,0.81,4,3.24,0.760,3/10/22,3/31/22,125.14,175.72,-16.04,4.73,6.00,8.24,11.93,27.41,At Fair Value,0,Blended,Ex-date,9,55.31,11.37,11.22,4.88,14.01,1.00,0.38,6.21,27.30,3.65,5.18,,Electrical Equipment
ETR,Entergy Corporation,,Utilities,8,105.87,3.82,3.87,1.01,4,4.04,0.950,11/12/21,12/1/21,98.50,126.82,4.26,2.88,2.65,1.68,21.79,10.79,At Fair Value,0,Blended,Ex-date,6,-34.32,11.82,9.01,14.34,9.12,0.72,0.71,3.40,22.20,2.03,0.00,,Electric Utilities
EVBN,"Evans Bancorp, Inc.",,Financials,11,34.76,3.57,3.18,0.62,2,1.24,0.600,3/10/22,4/5/22,33.98,44.48,3.40,7.58,9.36,11.26,15.70,5.91,In the Margin of Safety,-3,Blended,Adjusted ex-date,13,47.56,15.65,25.75,3.03,14.25,0.08,0.00,,8.68,1.24,0.60,,Banks
EVR,Evercore Inc.,,Financials,16,93.36,3.08,2.64,0.72,4,2.88,0.680,5/26/22,6/10/22,91.41,164.63,14.29,10.80,15.92,13.60,-13.83,9.88,In the Margin of Safety,-26,Blended,Ex-date,19,68.26,32.24,22.53,31.11,58.25,2.14,0.31,,5.84,3.21,0.18,,Capital Markets
EVRG,"Evergy, Inc.",,Utilities,19,60.74,3.77,3.30,0.573,4,2.29,0.535,11/18/21,12/20/21,59.46,73.13,6.50,6.97,7.55,5.56,18.79,9.27,In the Margin of Safety,-5,Blended,Ex-date,11,8.34,-3.88,15.60,7.17,9.13,0.51,0.56,3.82,19.36,1.70,2.39,,Electric Utilities
EWBC,"East West Bancorp, Inc.",,Financials,5,61.89,2.59,2.15,0.4,4,1.60,0.330,2/4/22,2/22/22,61.66,93.52,20.35,16.03,11.69,18.72,8.98,20.87,In the Margin of Safety,-40,Blended,Ex-date,14,43.84,28.04,50.26,7.84,16.49,0.14,0.00,,12.39,1.98,0.94,,Banks
EXPD,"Expeditors International of Washington, Inc.",,Industrials,28,96.3,1.39,1.38,0.67,2,1.34,0.580,5/31/22,6/15/22,94.73,137.80,11.54,8.83,7.72,8.78,-3.31,12.10,In the Margin of Safety,-33,Blended,Ex-date,9,70.97,64.45,8.20,5.50,44.01,1.88,0.11,33.46,11.81,4.50,0.40,,Air Freight and Logistics
EXPO,"Exponent, Inc.",,Industrials,10,81,1.19,0.93,0.24,4,0.96,0.200,3/10/22,3/25/22,80.97,127.61,9.10,15.17,17.51,,11.79,24.40,In the Margin of Safety,-17,Blended,Ex-date,19,14.31,14.14,22.56,2.23,26.17,3.46,0.05,19.00,56.99,14.53,3.66,,Professional Services
EXR,Extra Space Storage Inc.,,Real Estate,13,159.94,3.75,3.20,1.5,4,6.00,1.250,3/14/22,3/31/22,156.70,228.84,35.14,13.28,9.90,23.22,59.33,30.38,At Fair Value,0,Blended,Ex-date,14,83.79,26.33,48.82,7.74,24.47,2.39,0.62,6.09,33.30,8.60,1.19,,Equity Real Estate Investment Trusts (REITs)
FAF,First American Financial Corporation,,Financials,12,49.22,4.14,3.20,0.51,4,2.04,0.460,9/7/21,9/15/21,48.81,81.54,10.56,6.67,9.23,22.58,17.82,11.36,In the Margin of Safety,-20,Blended,Ex-date,13,70.89,46.12,11.99,9.35,21.52,0.34,0.32,13.00,6.51,1.32,0.23,,Insurance
FAST,Fastenal Company,,Industrials,23,48.73,2.54,2.37,0.31,4,1.24,0.280,2/1/22,3/2/22,48.34,64.75,11.66,12.86,13.53,14.98,20.65,25.97,At Fair Value,0,Blended,Ex-date excl. specials,16,13.25,10.55,15.63,1.27,33.20,4.07,0.17,22.48,34.72,10.89,2.44,,Trading Companies and Distributors
FBHS,"Fortune Brands Home & Security, Inc.",,Industrials,10,58.31,1.92,1.51,0.28,4,1.12,0.260,2/24/22,3/16/22,57.77,109.23,8.17,8.94,9.94,,-21.64,17.52,In the Margin of Safety,-54,Blended,Declaration date,12,26.85,20.81,9.94,4.23,26.57,2.19,0.55,11.44,13.05,3.34,0.86,,Building Products
FBIZ,"First Business Financial Services, Inc.",,Financials,10,32.01,2.47,2.79,0.198,4,0.79,0.180,2/4/22,2/17/22,25.70,35.92,9.27,8.97,8.53,18.08,36.02,21.46,At Fair Value,0,Blended,Ex-date,11,49.62,24.64,29.38,3.79,15.11,0.07,0.00,,8.07,1.20,0.39,,Banks
FBMS,"The First Bancshares, Inc.",,Financials,5,28.19,2.55,1.22,0.18,4,0.72,0.170,5/9/22,5/25/22,27.85,42.89,37.78,41.26,32.82,15.25,-6.62,4.41,In the Margin of Safety,-47,Blended,Ex-date,35,7.43,10.52,32.93,4.14,10.43,0.16,0.00,,10.96,1.17,0.59,,Banks
FBNC,First Bancorp,,Financials,5,34.03,2.59,1.69,0.22,4,0.88,0.200,3/30/22,4/25/22,33.87,50.92,10.82,24.99,20.71,9.87,-2.13,8.61,In the Margin of Safety,-38,Blended,Ex-date,23,0.31,16.09,31.55,6.59,10.18,0.07,0.00,,13.10,1.34,0.72,,Banks
FCAP,"First Capital, Inc.",,Financials,5,29.72,3.50,2.06,0.26,4,1.04,0.240,3/15/21,3/30/21,29.39,46.40,6.13,4.18,4.37,3.19,-17.50,-6.93,In the Margin of Safety,-61,Blended,Ex-date,8,0.13,5.08,29.16,5.19,10.69,0.17,0.00,,11.92,1.38,1.20,,Banks
FCBC,"First Community Bankshares, Inc.",,Financials,11,28.07,3.85,3.24,0.27,4,1.08,0.250,8/6/21,8/23/21,26.51,36.73,6.01,9.39,11.33,10.24,-2.70,-1.60,In the Margin of Safety,-9,Blended,Ex-date excl. specials,15,11.68,6.01,32.97,2.69,10.85,0.17,0.00,,10.49,1.12,0.83,,Banks
FCF,First Commonwealth Financial Corporation,,Financials,6,13.01,3.69,3.17,0.12,4,0.48,0.115,5/5/22,5/20/22,12.36,17.63,4.55,7.53,9.67,14.39,8.79,10.32,In the Margin of Safety,-17,Blended,Ex-date,13,18.64,7.02,33.63,1.53,11.72,0.07,0.00,,11.43,1.34,0.86,,Banks
FCNC.A,"First Citizens BancShares, Inc.",,Financials,5,598.79,0.31,0.34,0.47,4,1.88,0.400,12/11/20,1/1/21,598.01,947.71,8.05,7.82,9.40,4.60,-20.18,18.17,In the Margin of Safety,-64,Blended,Ex-date,10,0.91,6.50,32.84,-0.87,9.02,0.12,0.00,,11.58,1.10,0.50,,Banks
FCPT,"Four Corners Property Trust, Inc.",,Real Estate,6,25.37,5.24,4.80,0.333,4,1.33,0.318,12/31/21,1/14/22,24.24,30.13,4.42,4.94,6.04,,3.40,1.72,In the Margin of Safety,-7,Blended,Pay date,11,3.98,26.97,42.15,1.62,9.57,3.61,0.50,4.18,24.09,2.24,-3.17,,Equity Real Estate Investment Trusts (REITs)
FDBC,"Fidelity D & D Bancorp, Inc.",,Financials,8,37.42,3.53,2.05,0.33,4,1.32,0.300,11/18/21,12/10/21,34.20,59.65,8.63,8.01,9.88,6.58,-22.71,-5.69,In the Margin of Safety,-59,Blended,Ex-date,13,43.31,32.83,31.69,-0.05,15.27,0.06,0.00,,9.86,1.50,0.59,,Banks
FDS,FactSet Research Systems Inc.,,Financials,24,348.71,1.02,1.01,0.89,4,3.56,0.820,5/27/22,6/16/22,324.34,495.40,6.50,8.62,10.40,11.75,41.88,21.64,In the Margin of Safety,0,Blended,Ex-date,11,8.71,8.44,25.15,13.80,38.19,3.72,0.41,15.84,36.53,12.66,6.91,,Capital Markets
FELE,"Franklin Electric Co., Inc.",,Industrials,30,68.91,1.13,1.00,0.195,4,0.78,0.175,2/2/22,2/17/22,68.27,96.95,12.50,12.56,12.48,10.31,6.09,18.79,In the Margin of Safety,-21,Blended,Ex-date,14,31.95,35.53,8.75,1.36,17.18,1.70,0.26,10.64,24.89,4.01,1.76,,Machinery
FFIN,"First Financial Bankshares, Inc.",,Financials,12,37.69,1.80,1.48,0.17,4,0.68,0.150,6/15/22,7/1/22,37.47,55.00,15.39,12.63,10.76,9.60,-4.39,16.83,In the Margin of Safety,-9,Blended,Ex-date,13,1.96,3.49,44.13,2.41,14.37,0.06,0.00,,27.73,4.21,1.89,,Banks
FFNW,"First Financial Northwest, Inc.",,Financials,6,15.81,3.04,2.59,0.12,4,0.48,0.110,3/10/22,3/25/22,14.29,17.95,9.76,12.04,13.40,,23.47,6.05,In the Margin of Safety,-17,Blended,Ex-date,16,44.87,13.96,26.04,2.47,8.24,0.04,0.00,,12.18,0.98,1.11,,Banks
FGBI,"First Guaranty Bancshares, Inc.",,Financials,8,25.7,2.49,3.18,0.16,4,0.64,0.145,12/22/21,12/31/21,16.48,29.65,5.00,4.92,4.91,1.89,51.69,16.31,In the Margin of Safety,-3,Blended,Ex-date excl. specials,7,29.65,20.44,28.91,2.75,15.01,0.06,0.00,,9.20,1.36,0.70,,Banks
FHN,First Horizon National Corporation,,Financials,10,20.74,2.89,3.77,0.15,4,0.60,0.140,3/12/20,4/1/20,14.68,24.24,0.00,6.27,14.87,31.11,43.64,24.10,At Fair Value,0,Blended,Pay date excl. specials,18,-18.86,18.30,29.09,0.69,11.44,0.25,0.00,,13.77,1.70,1.17,,Banks
FIBK,"First Interstate BancSystem, Inc.",,Financials,8,35.7,4.59,3.50,0.41,4,1.64,0.380,2/8/21,2/19/21,32.40,45.91,11.57,12.56,12.76,16.87,-17.02,1.69,In the Margin of Safety,-20,Blended,Ex-date excl. specials,17,-47.07,4.12,16.53,3.99,4.00,0.15,0.00,,23.81,1.18,-3.41,,Banks
FISI,"Financial Institutions, Inc.",,Financials,12,25.74,4.51,3.85,0.29,4,1.16,0.270,3/17/22,4/4/22,25.64,34.43,4.77,4.29,6.06,8.21,3.05,8.06,In the Margin of Safety,-22,Blended,Ex-date,11,26.72,15.16,34.99,6.15,15.77,0.05,0.00,,6.74,1.06,0.43,,Banks
FITB,Fifth Third Bancorp,,Financials,12,33.25,3.61,3.49,0.3,4,1.20,0.270,9/29/21,10/15/21,33.00,50.64,8.34,13.51,16.73,14.58,18.15,24.12,In the Margin of Safety,-16,Blended,Ex-date,20,28.66,8.05,32.10,6.85,12.02,0.07,0.00,,12.21,1.64,0.96,,Banks
FIX,"Comfort Systems USA, Inc.",,Industrials,10,75.82,0.74,0.74,0.14,4,0.56,0.130,5/13/22,5/27/22,67.91,103.74,13.80,12.25,12.08,9.49,19.73,20.29,In the Margin of Safety,-14,Blended,Ex-date,13,28.89,16.38,6.20,4.40,25.43,1.33,0.39,9.70,15.84,3.64,0.58,,Construction and Engineering
FLIC,The First of Long Island Corporation,,Financials,26,17.83,4.49,3.37,0.2,4,0.80,0.190,10/7/21,10/18/21,16.51,22.95,5.34,6.18,7.39,6.93,-4.92,-0.07,In the Margin of Safety,-30,Blended,Declaration date,12,2.75,3.95,35.84,2.12,11.01,0.03,0.00,,10.42,1.16,1.66,,Banks
FLO,"Flowers Foods, Inc.",,Consumer Staples,20,24.59,3.58,3.37,0.22,4,0.88,0.210,6/8/22,6/23/22,22.61,29.73,5.01,5.28,5.59,7.71,11.65,10.11,At Fair Value,0,Blended,Ex-date,9,-4.22,2.86,4.94,1.76,15.33,1.53,0.46,8.42,26.36,3.98,4.73,,Food Products
FMAO,"Farmers & Merchants Bancorp, Inc.",,Financials,13,36.02,2.11,2.06,0.19,4,0.76,0.180,12/27/21,1/20/22,21.27,42.14,8.96,7.97,9.68,6.75,47.72,9.18,At Fair Value,0,Blended,Ex-date,12,17.49,23.91,30.03,3.01,10.01,0.07,0.00,,16.44,1.64,1.49,,Banks
FMBH,"First Mid Bancshares, Inc.",,Financials,12,36,2.44,1.99,0.22,4,0.88,0.205,8/17/21,9/1/21,35.21,45.84,-14.78,28.26,13.47,8.02,-10.58,7.68,In the Margin of Safety,-8,Blended,Ex-date,16,49.11,40.25,26.49,3.93,10.10,0.05,0.00,,11.06,1.19,1.01,,Banks
FMC,FMC Corporation,,Materials,5,103.91,2.04,1.53,0.53,4,2.12,0.480,12/30/21,1/20/22,87.27,140.99,9.79,21.37,25.08,20.43,21.16,21.85,In the Margin of Safety,-13,Blended,Ex-date,27,52.81,13.36,14.64,4.04,27.41,1.39,0.57,10.87,20.11,5.42,0.47,,Chemicals
FMNB,Farmers National Banc Corp.,,Financials,7,14.88,4.30,2.64,0.16,4,0.64,0.140,3/10/22,3/31/22,14.47,20.00,18.19,17.57,25.06,15.80,5.36,10.78,In the Margin of Safety,-51,Blended,Ex-date,29,2.51,13.99,36.10,2.00,14.34,0.04,0.00,,9.82,1.48,0.58,,Banks
FNCB,"FNCB Bancorp, Inc.",,Financials,7,8.24,3.64,2.57,0.075,4,0.30,0.060,8/31/21,9/15/21,7.15,10.15,26.67,16.56,23.31,,29.95,10.70,In the Margin of Safety,-32,Blended,Ex-date,27,5.06,10.90,34.95,0.91,13.57,0.03,0.00,,9.54,1.35,0.55,,Banks
FNF,"Fidelity National Financial, Inc.",,Financials,11,34.83,5.05,3.59,0.44,4,1.76,0.400,12/16/21,12/31/21,34.59,56.44,18.85,10.67,12.26,12.62,24.24,14.09,In the Margin of Safety,-49,Blended,Ex-date,17,6.49,27.94,14.09,14.46,27.28,1.08,0.31,16.37,6.26,1.70,0.21,,Insurance
FNLC,"The First Bancorp, Inc.",,Financials,10,28.15,4.55,4.35,0.32,4,1.28,0.310,7/7/21,7/19/21,26.97,36.80,3.26,4.60,6.90,5.00,7.46,11.52,In the Margin of Safety,-2,Blended,Declaration date excl. specials,11,24.85,18.98,42.20,4.17,16.05,0.03,0.00,,8.87,1.42,0.60,,Banks
FNV,Franco-Nevada Corporation,,Materials,15,139.66,0.92,1.05,0.32,4,1.28,0.319,6/15/22,6/30/22,124.95,169.32,17.65,8.35,6.77,26.12,28.39,29.75,In the Margin of Safety,-47,Blended,Ex-date,8,24.46,22.27,56.06,5.04,12.61,21.73,0.00,9.33,40.98,4.93,1.08,,Metals and Mining
